expID,testID,prec,recall,shd,time,date
EQ-d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=4_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,0.7064714054675586,0.5361328125000001,6.18359375,0.009021326899528503,2021-05-23T12:57:09.737
EQ-d=50_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.8363980194222836,0.6211808265223876,24.8125,0.07834881544113159,2021-05-23T21:43:24.823
FC-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=2_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.028915154518088404,0.0075209621626471795,90.505859375,0.019442051649093628,2021-05-24T02:35:12.621
FC-d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=1_gtype=SF_noise=Poisson_mat=COV_mec=Linear_ng=3000_N=3,0.565712626505188,0.4403211805555555,8.0830078125,0.0012946873903274536,2021-05-23T12:57:16.777
EQ-d=50_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.8296860524672883,0.7822066326530611,18.5546875,0.13572876155376434,2021-05-23T21:42:48.107
EQ-d=50_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=SF_noise=Gumbel_mat=COV_mec=Linear_ng=1000_N=1,0.8280508645999739,0.6232461734693877,24.826171875,0.07773356139659882,2021-05-23T21:43:19.109
FC-d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=1_gtype=SF_noise=Exp_mat=COV_mec=Linear_ng=3000_N=3,0.563976889054259,0.4431423611111111,8.0966796875,0.0012696832418441772,2021-05-23T12:57:16.925
EQ2-SF-k1-d=20-d=20_k=1_gtype=SF_noise=Gaussian_mat=CH3_mec=Linear_ng=3000_N=3,TEST-gtype=ER,0.8551709418874024,0.746223479922823,7.3828125,0.03218221664428711,2021-06-02T23:06:28.667
EQ-d=50_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=SF_noise=Exp_mat=COV_mec=Linear_ng=1000_N=1,0.8343813318806822,0.7813695790816325,18.314453125,0.07836788892745972,2021-05-23T21:43:11.615
EQ-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=ER_noise=Poisson_mat=COV_mec=Linear_ng=1000_N=1,0.7956136470137208,0.7431231853204333,22.24609375,0.07982106506824493,2021-05-24T02:10:18.236
CNN-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=ER_noise=Gumbel_mat=COV_mec=Linear_ng=1000_N=1,0.2888523818710886,0.050926544502114014,53.369140625,0.015622004866600037,2021-05-24T02:43:28.095
EQ-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=ER_noise=Gumbel_mat=COV_mec=Linear_ng=1000_N=1,0.8097182942080781,0.5903122835081323,27.208984375,0.0791056901216507,2021-05-24T02:10:30.969
EQ-d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=1_gtype=SF_noise=Gumbel_mat=COV_mec=Linear_ng=3000_N=3,0.9594021755969835,0.9743923611111113,0.6025390625,0.009179502725601196,2021-05-23T12:57:10.601
EQ-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=2_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.4867894006536225,0.6224232830483545,51.791015625,0.07882906496524811,2021-05-24T02:10:05.609
EQ-d=10_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,0.9613847602584568,0.9398871527777778,0.880859375,0.008458942174911499,2021-05-23T17:37:16.324
FC-d=10_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,0.33298215599621656,0.2515190972222222,11.271484375,0.0012799352407455444,2021-05-23T17:43:02.484
EQ2-ER-k1-d=50-d=50_k=1_gtype=ER_noise=Gaussian_mat=CH3_mec=Linear_ng=1000_N=1,TEST-gtype=SF,0.7959750983522265,0.7101403061224489,23.3046875,0.17091649770736694,2021-06-02T23:06:30.700
EQ2-SF-k1-d=50-d=50_k=1_gtype=SF_noise=Gaussian_mat=CH3_mec=Linear_ng=1000_N=1,TEST-gtype=ER,0.9327052673880778,0.6349476116322107,20.375,0.09406423568725586,2021-06-02T23:06:31.262
EQ2-SF-k1-d=50-d=50_k=1_gtype=SF_noise=Gaussian_mat=CH3_mec=Linear_ng=1000_N=1,TEST-gtype=SF,0.9333386164353806,0.9169323979591837,7.28125,0.08953750133514404,2021-06-02T23:06:31.815
CNN-d=10_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=4_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,0.40821466352559044,0.5313585069444444,11.1787109375,0.001767873764038086,2021-05-23T12:57:28.103
FC-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=4_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.034909077442271716,0.00752137698734248,724.7421875,0.009148374199867249,2021-05-24T02:35:15.104
EQ2-ERSF-k1-d=200-ng=1000-N=1-ensemble,TEST-d=300,0.5545951840838945,0.8497158629163646,250.625,1.681542456150055,2021-05-27T14:58:30.370
CNN-d=50_k=1_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=4_gtype=SF_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.08426210972619248,0.2266023596938776,159.71875,0.015604987740516663,2021-05-23T22:18:43.137
CNN-d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,d=50_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=1000_N=1,0.3186543073137328,0.027252007321949833,51.1640625,0.014026686549186707,2021-05-24T02:43:20.799
FC-d=10_k=1_gtype=ER_noise=Gaussian_mat=COV_mec=Linear_ng=3000_N=3,d=10_k=1_gtype=ER_noise=Poisson_mat=COV_mec=Linear_ng=3000_N=3,0.3720967581286028,0.26923935765180784,11.2109375,0.001297876238822937,2021-05-23T17:43:02.143
