expID,testID,prec,recall,shd,date
deep-EQ-SF,d=30_k=2_gtype=ER_noise=Gaussian_mat=COR,0.5796835554040779,0.5686125449186168,24.875,2020-05-19T14:54:01.954
deep-FC-SF-d=20,d=20_k=1_gtype=SF_noise=Gaussian_mat=COR,0.504605116309889,0.41601562500000006,18.865234375,2020-05-19T17:05:52.979
deep-EQ-SF-ensemble,d=15_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8822563510038082,0.957310267857143,2.390625,2020-05-20T14:19:45.404
deep-EQ-ER,d=20_k=2_gtype=SF_noise=Gaussian_mat=COR,0.6794488822573925,0.6910978618421053,12.068359375,2020-05-20T05:00:40.06
deep-EQ-SF-ensemble,d=15_k=4_gtype=ER_noise=Gaussian_mat=COR,0.49231579740253634,0.5280315512372323,14.783203125,2020-05-20T14:19:43.856
deep-EQ-SF-ensemble,d=20_k=4_gtype=SF_noise=Gaussian_mat=COR,0.6060059791791242,0.5888157894736842,15.103515625,2020-05-20T14:20:03.118
deep-FC-SF-d=15,d=15_k=2_gtype=SF_noise=Gaussian_mat=COR,0.5974764508342538,0.5139508928571428,11.658203125,2020-05-19T17:05:46.359
deep-EQ-ER-ensemble,d=10_k=2_gtype=SF_noise=Gaussian_mat=COR,0.711271290740297,0.8159722222222223,4.642578125,2020-05-20T14:17:41.029
deep-FC-ER-d=15,d=15_k=1_gtype=SF_noise=Gaussian_mat=COR,0.31717231198061513,0.27929687500000006,18.52734375,2020-05-19T16:30:08.089
deep-EQ-SF-ensemble,d=30_k=1_gtype=SF_noise=Gaussian_mat=COR,0.7510892606703712,0.9328529094827588,10.92578125,2020-05-20T14:20:25.39
deep-EQ-SF-ensemble,d=10_k=1_gtype=SF_noise=Gaussian_mat=COR,0.890845117516192,0.953342013888889,1.474609375,2020-05-20T14:19:32.668
deep-EQ-SF,d=30_k=4_gtype=ER_noise=Gaussian_mat=COR,0.46902706609150496,0.4675807822090924,31.365234375,2020-05-19T14:54:07.24
deep-EQ-SF,d=10_k=2_gtype=SF_noise=Gaussian_mat=COR,0.8439706375462231,0.8847656250000001,2.513671875,2020-05-19T14:53:23.595
deep-FC-ER-d=15,d=15_k=4_gtype=SF_noise=Gaussian_mat=COR,0.2533921216938416,0.20996093749999997,19.70703125,2020-05-19T16:30:09.812
deep-EQ-ER,d=20_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5729564005878944,0.5411254638614107,16.8671875,2020-05-20T05:00:35.35
deep-EQ-ER-ensemble,d=20_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5560361317289442,0.515419407894737,17.03125,2020-05-20T14:18:11.902
deep-FC-ER-d=10,d=10_k=2_gtype=SF_noise=Gaussian_mat=COR,0.38219327422229005,0.3656684027777777,11.025390625,2020-05-19T16:30:04.105
deep-EQ-SF-ensemble,d=30_k=1_gtype=ER_noise=Gaussian_mat=COR,0.6814871810699632,0.6889346213479632,18.697265625,2020-05-20T14:20:09.626
deep-EQ-ER-ensemble,d=30_k=1_gtype=ER_noise=Gaussian_mat=COR,0.6980935674171143,0.7719118849583775,16.60546875,2020-05-20T14:18:18.391
deep-EQ-ER-ensemble,d=10_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8405500446254811,0.9316406249999999,2.208984375,2020-05-20T14:17:40.16
deep-FC-SF-d=20,d=20_k=2_gtype=ER_noise=Gaussian_mat=COR,0.17159115490942392,0.1367168868769437,29.705078125,2020-05-19T17:05:50.346
deep-FC-SF-d=10,d=10_k=2_gtype=ER_noise=Gaussian_mat=COR,0.33750968142994925,0.26875433204310917,11.923828125,2020-05-19T17:05:37.981
deep-EQ-SF-ensemble,d=30_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5386199302957656,0.5319234913793104,26.80859375,2020-05-20T14:20:35.78
deep-FC-SF-d=20,d=20_k=2_gtype=SF_noise=Gaussian_mat=COR,0.45144541733516963,0.3662623355263158,20.494140625,2020-05-19T17:05:54.113
deep-EQ-SF,d=30_k=1_gtype=SF_noise=Gaussian_mat=COR,0.7505603452780338,0.9242322198275862,11.119140625,2020-05-19T14:54:12.557
deep-EQ-ER-ensemble,d=20_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5774911623296337,0.5513348593742431,16.638671875,2020-05-20T14:18:04.798
deep-FC-SF-d=10,d=10_k=4_gtype=SF_noise=Gaussian_mat=COR,0.7009674016044576,0.6458333333333334,5.67578125,2020-05-19T17:05:40.691
deep-EQ-ER-ensemble,d=20_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6766043014855281,0.6855599549145472,12.541015625,2020-05-20T14:18:02.484
deep-FC-SF-COV-d=10,d=10_k=1_gtype=SF_noise=Gaussian_mat=COV,0.8210193386834358,0.7677951388888888,3.599609375,2020-05-20T05:02:04.783
deep-EQ-SF,d=30_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5343279553492554,0.5384563577586207,26.984375,2020-05-19T14:54:23.192
deep-EQ-SF-ensemble,d=20_k=2_gtype=SF_noise=Gaussian_mat=COR,0.7537314462788844,0.8211348684210525,8.50390625,2020-05-20T14:20:00.737
deep-FC-ER-COV-d=10,d=10_k=1_gtype=ER_noise=Gaussian_mat=COV,0.5910662682699626,0.5389453914753732,7.96875,2020-05-20T05:02:04.286
deep-EQ-ER,d=30_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5106596644915612,0.46773976293103453,28.4765625,2020-05-20T05:01:16.184
deep-EQ-SF-ensemble,d=15_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7425773732791302,0.6745103143433232,8.111328125,2020-05-20T14:19:40.761
deep-EQ-SF-ensemble,d=20_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6196039153818683,0.585962468325871,15.076171875,2020-05-20T14:19:53.712
deep-FC-ER-d=20,d=20_k=2_gtype=ER_noise=Gaussian_mat=COR,0.262847348056765,0.20133385381521268,26.56640625,2020-05-19T16:30:12.959
deep-EQ-ER-ensemble,d=10_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5788977900296841,0.6195558556999727,7.919921875,2020-05-20T14:17:39.268
deep-FC-ER-d=20,d=20_k=1_gtype=SF_noise=Gaussian_mat=COR,0.24320160029778334,0.2020970394736842,27.099609375,2020-05-19T16:30:15.611
deep-EQ-SF-ensemble,d=50_k=1_gtype=ER_noise=Gaussian_mat=COR,0.5599201520302283,0.7325727110119722,41.802734375,2020-05-20T14:20:41.088
deep-EQ-ER,d=30_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6174016215309969,0.6706620935040781,21.982421875,2020-05-20T05:00:54.446
deep-EQ-ER-ensemble,d=80_k=1_gtype=ER_noise=Gaussian_mat=COR,0.43208664473404484,0.8285527071865643,100.376953125,2020-05-20T14:19:12.425
deep-EQ-ER,d=30_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5310543160460913,0.5461382980819958,27.609375,2020-05-20T05:00:59.948
deep-EQ-SF-ensemble,d=80_k=1_gtype=SF_noise=Gaussian_mat=COR,0.4343483119895621,0.8864715189873418,100.19921875,2020-05-20T14:21:18.579
deep-EQ-ER,d=80_k=1_gtype=ER_noise=Gaussian_mat=COR,0.4301282081927574,0.8288022249232814,101.025390625,2020-05-20T05:01:44.105
deep-EQ-SF-ensemble,d=30_k=2_gtype=SF_noise=Gaussian_mat=COR,0.6675001369412348,0.7491244612068968,18.111328125,2020-05-20T14:20:30.559
deep-EQ-SF,d=30_k=2_gtype=SF_noise=Gaussian_mat=COR,0.6566790744808273,0.7448141163793103,18.701171875,2020-05-19T14:54:17.746
deep-FC-ER-d=10,d=10_k=2_gtype=ER_noise=Gaussian_mat=COR,0.40991561564540635,0.3584919956516648,10.94140625,2020-05-19T16:30:02.718
deep-EQ-ER,d=15_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7595362286144216,0.7767739288256404,6.814453125,2020-05-20T05:00:19.484
deep-EQ-SF,d=15_k=2_gtype=SF_noise=Gaussian_mat=COR,0.7922750369738533,0.8657924107142858,5.064453125,2020-05-19T14:53:35.159
deep-FC-ER-d=15,d=15_k=2_gtype=ER_noise=Gaussian_mat=COR,0.33017209499913297,0.267564932767139,18.5546875,2020-05-19T16:30:06.383
deep-EQ-ER-ensemble,d=20_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7464579646733495,0.7588114943688553,9.73046875,2020-05-20T14:17:59.879
deep-EQ-SF,d=20_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7224612289915538,0.6571171884329745,11.615234375,2020-05-19T14:53:39.368
deep-EQ-SF,d=15_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6212068851978056,0.6027699064856828,11.09765625,2020-05-19T14:53:30.558
deep-FC-SF-d=10,d=10_k=4_gtype=ER_noise=Gaussian_mat=COR,0.32084875440066074,0.25917918860440803,12.1640625,2020-05-19T17:05:38.714
deep-EQ-ER-ensemble,d=30_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6162077003245302,0.666229817792038,22.052734375,2020-05-20T14:18:23.691
deep-EQ-SF,d=10_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6418620993162996,0.6327350535650614,6.876953125,2020-05-19T14:53:21.014
deep-EQ-ER-ensemble,d=15_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6755208496015763,0.707170952334003,9.146484375,2020-05-20T14:17:50.706
deep-EQ-ER-ensemble,d=50_k=1_gtype=ER_noise=Gaussian_mat=COR,0.5623867812001727,0.8069966828413658,40.673828125,2020-05-20T14:18:50.306
deep-EQ-ER-ensemble,d=30_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5271558983461346,0.5430875433761857,27.841796875,2020-05-20T14:18:29.254
deep-EQ-SF-ensemble,d=80_k=1_gtype=ER_noise=Gaussian_mat=COR,0.44473235999990796,0.791268714994452,95.26171875,2020-05-20T14:21:02.486
deep-EQ-SF,d=15_k=4_gtype=ER_noise=Gaussian_mat=COR,0.4667152768797422,0.4997660395923962,15.5703125,2020-05-19T14:53:32.099
deep-FC-ER-COV-d=20,d=20_k=1_gtype=ER_noise=Gaussian_mat=COV,0.1203962511153676,0.09837812619897462,31.599609375,2020-05-20T05:02:08.188
deep-EQ-ER-ensemble,d=15_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5529438293199564,0.5803571428571429,12.46875,2020-05-20T14:17:57.197
deep-EQ-ER-COV-ensemble,d=20_k=1_gtype=SF_noise=Gaussian_mat=COV,0.8776408052763531,0.9394531250000001,3.6484375,2020-05-20T14:24:53.663
deep-EQ-SF-ensemble,d=10_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5178640377583942,0.5475269467492636,9.125,2020-05-20T14:19:31.849
deep-FC-SF-COV-d=15,d=15_k=1_gtype=SF_noise=Gaussian_mat=COV,0.5072999949836747,0.4239676339285714,13.833984375,2020-05-20T05:02:06.366
deep-EQ-ER,d=30_k=1_gtype=SF_noise=Gaussian_mat=COR,0.7360930783022858,0.7842133620689654,14.416015625,2020-05-20T05:01:05.373
deep-FC-SF-d=15,d=15_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5607424694157414,0.4681919642857143,12.576171875,2020-05-19T17:05:47.555
deep-EQ-ER-ensemble,d=10_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7312791292853674,0.775448045523322,4.8515625,2020-05-20T14:17:36.796
deep-EQ-SF,d=10_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8962233427382426,0.9598524305555555,1.365234375,2020-05-19T14:53:22.657
deep-EQ-SF-ensemble,d=15_k=4_gtype=SF_noise=Gaussian_mat=COR,0.6437616529765109,0.6608537946428572,9.90625,2020-05-20T14:19:48.478
deep-FC-SF-d=10,d=10_k=1_gtype=ER_noise=Gaussian_mat=COR,0.3607203361149846,0.2950739400490299,11.55859375,2020-05-19T17:05:36.428
deep-EQ-ER-COV-ensemble,d=15_k=1_gtype=ER_noise=Gaussian_mat=COV,0.8679372819693665,0.9106784902358822,3.3203125,2020-05-20T14:23:14.939
deep-EQ-ER,d=10_k=4_gtype=SF_noise=Gaussian_mat=COR,0.5779609641358424,0.6688368055555556,7.384765625,2020-05-20T05:00:17.678
deep-FC-ER-d=20,d=20_k=2_gtype=SF_noise=Gaussian_mat=COR,0.22150603910416974,0.1768092105263158,27.453125,2020-05-19T16:30:16.99
deep-EQ-SF-ensemble,d=30_k=2_gtype=ER_noise=Gaussian_mat=COR,0.5795276225068346,0.5790303403979484,24.79296875,2020-05-20T14:20:14.794
deep-EQ-SF,d=20_k=4_gtype=SF_noise=Gaussian_mat=COR,0.604946999901312,0.6051603618421052,15.05078125,2020-05-19T14:53:50.922
deep-EQ-SF,d=10_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5019217992759346,0.5240849782977864,9.46875,2020-05-19T14:53:21.799
deep-EQ-ER-COV-ensemble,d=30_k=1_gtype=ER_noise=Gaussian_mat=COV,0.7807117858906371,0.8388032534252265,11.71875,2020-05-20T14:24:23.307
deep-EQ-SF,d=20_k=1_gtype=SF_noise=Gaussian_mat=COR,0.8513593959212425,0.9470600328947368,4.15234375,2020-05-19T14:53:46.232
deep-EQ-ER-COV-ensemble,d=10_k=1_gtype=SF_noise=Gaussian_mat=COV,0.9468926166568683,0.9880642361111113,0.607421875,2020-05-20T14:24:44.928
deep-EQ-SF,d=20_k=4_gtype=ER_noise=Gaussian_mat=COR,0.4769173624690556,0.4797412027512499,20.435546875,2020-05-19T14:53:43.984
deep-EQ-ER,d=50_k=1_gtype=SF_noise=Gaussian_mat=COR,0.5893456754021791,0.7701690051020409,37.5859375,2020-05-20T05:01:26.065
deep-EQ-ER,d=30_k=2_gtype=SF_noise=Gaussian_mat=COR,0.6241161352779474,0.6273572198275862,21.765625,2020-05-20T05:01:10.742
deep-EQ-SF-ensemble,d=10_k=4_gtype=SF_noise=Gaussian_mat=COR,0.7122801879543458,0.695095486111111,5.279296875,2020-05-20T14:19:34.162
deep-EQ-ER-ensemble,d=15_k=1_gtype=ER_noise=Gaussian_mat=COR,0.7664216905889822,0.7985896630512398,6.42578125,2020-05-20T14:17:48.944
deep-FC-ER-COV-d=15,d=15_k=1_gtype=ER_noise=Gaussian_mat=COV,0.2345791111987837,0.19213232827409138,20.87109375,2020-05-20T05:02:05.715
deep-FC-SF-d=20,d=20_k=4_gtype=SF_noise=Gaussian_mat=COR,0.42302527391299477,0.3480674342105262,21.408203125,2020-05-19T17:05:55.247
deep-EQ-ER-ensemble,d=50_k=1_gtype=SF_noise=Gaussian_mat=COR,0.5885809455120817,0.7706473214285714,37.6484375,2020-05-20T14:18:54.786
deep-FC-SF-d=10,d=10_k=2_gtype=SF_noise=Gaussian_mat=COR,0.7691644502913566,0.7250434027777779,4.435546875,2020-05-19T17:05:39.98
deep-EQ-SF,d=20_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6169244432834006,0.5771770956445595,15.212890625,2020-05-19T14:53:41.601
deep-EQ-ER,d=15_k=4_gtype=ER_noise=Gaussian_mat=COR,0.5911748669127154,0.5761024351569214,11.916015625,2020-05-20T05:00:22.641
deep-EQ-ER,d=20_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6728697406559327,0.6712904690493086,12.76953125,2020-05-20T05:00:32.908
deep-FC-ER-d=10,d=10_k=1_gtype=ER_noise=Gaussian_mat=COR,0.4440576490458751,0.39047476519057245,10.419921875,2020-05-19T16:30:01.671
deep-EQ-SF,d=15_k=4_gtype=SF_noise=Gaussian_mat=COR,0.6498338357635469,0.6722935267857143,9.671875,2020-05-19T14:53:36.693
deep-FC-SF-d=20,d=20_k=1_gtype=ER_noise=Gaussian_mat=COR,0.17992994961118455,0.1409147378647009,29.302734375,2020-05-19T17:05:49.102
deep-EQ-ER-ensemble,d=10_k=2_gtype=ER_noise=Gaussian_mat=COR,0.6751064564217518,0.7404330038890666,5.833984375,2020-05-20T14:17:38.397
deep-EQ-ER,d=30_k=1_gtype=ER_noise=Gaussian_mat=COR,0.6971440790844818,0.7709139351520837,16.662109375,2020-05-20T05:00:49.607
